0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,True_value
0.3970417,0.2087538,0.20799358,0.45443612,0.47197282,0.24248856,0.24776614,0.3540634,0.08287534,0.53722143,0.23915684,-0.000129452,0.18643728,0.3387913,0.5903063,0.21143426,0
0.6303101,0.003778301,0.000219643,0.71758157,0.72853374,0.007790014,0.009788662,0.58184266,-0.004022285,0.7935533,0.00719627,-0.000144054,-0.000343874,0.600454,0.8011643,-0.003690876,1
0.63935405,0.080519386,0.077783726,0.73307085,0.7435479,0.08083597,0.09292342,0.58717436,0.02336511,0.8224395,0.09138698,-0.000169234,0.06334363,0.60421664,0.84847933,0.08121884,0
0.058356244,0.6191666,0.63565814,0.056644045,0.11318062,0.738562,0.77821296,0.03184133,0.26402685,0.18255922,0.72285,-0.000142668,0.54819095,-0.11822398,0.3321985,0.6341787,0
0.59432524,0.043091595,0.044823445,0.6845195,0.6876372,0.04699473,0.048916228,0.5424111,0.012046512,0.7581787,0.04869596,-0.000140051,0.036164224,0.5668313,0.77226955,0.037595216,1
0.5601771,0.09558471,0.110908136,0.64385027,0.65486234,0.1276865,0.12231134,0.51639587,0.03378012,0.73381704,0.12673366,-0.00014298,0.08387275,0.51176155,0.7734606,0.10158274,0
0.63145137,0.041243702,0.029382885,0.72647864,0.72975254,0.030202255,0.027191475,0.5740221,0.01568776,0.8031857,0.02888941,-0.0001545,0.02768404,0.6052406,0.80639434,0.031640433,0
0.5745179,0.035231266,0.04808172,0.6656573,0.66710943,0.05577138,0.04020012,0.52801347,0.007802252,0.744115,0.058033176,-0.000133835,0.039718673,0.549602,0.76889193,0.042888157,1
0.3826628,0.28150883,0.29652727,0.43592164,0.4611094,0.33497947,0.32781446,0.34556484,0.11014957,0.5394997,0.3369574,-0.000147029,0.25927508,0.31590727,0.6323102,0.29793796,1
0.45423955,0.24466458,0.2434355,0.51924324,0.54058546,0.27923644,0.3052677,0.41480407,0.10178512,0.6181223,0.27864668,-0.000149156,0.20688832,0.35876665,0.68451256,0.23804234,0
0.18325754,0.20660532,0.26995596,0.22091895,0.23442613,0.31215182,0.3063581,0.14782913,0.08637819,0.29399848,0.29971862,-6.45E-05,0.23244867,0.11681573,0.35926417,0.23821369,1
0.5910119,0.051797997,0.04222118,0.67572063,0.68454534,0.055473775,0.06430883,0.5388598,0.012499552,0.748777,0.051375188,-0.000145454,0.03549034,0.5504316,0.75796837,0.04012479,0
0.22034526,0.12077595,0.19954485,0.25520217,0.26679376,0.24486932,0.25018468,0.19802979,0.06692087,0.3307662,0.22514263,-7.41E-05,0.16299082,0.1710038,0.38844183,0.17323491,1
0.34218544,0.2822131,0.29497612,0.39514345,0.41715202,0.33625352,0.3579581,0.31240135,0.12373744,0.49390334,0.33150488,-0.000130569,0.25546318,0.25435776,0.5708031,0.28598952,1
